hour,ambient_temp,battery_temp,soc,energy,efficiency
1,25.53853054152035,25.643915846935553,0.8789229389169593,189.46146945847963,0.9473073472923982
2,25.401296488059117,25.50530945293971,0.9,10.538530541520375,0.9479935175597044
3,26.88960152967242,27.008497544969142,0.9,0.0,0.9405519923516379
4,26.629192065006123,26.745483985656183,0.9,0.0,0.9418540396749694
5,26.779111260069577,26.896902372670272,0.9,0.0,0.9411044436996521
6,26.976846501316263,27.096614966329426,0.9,0.0,0.9401157674934186
7,29.52096856540185,29.66617825105587,0.9,0.0,0.9273951571729907
8,30.7617977180344,30.919415695214745,0.9,0.0,0.921191011409828
9,29.76989151982753,29.917590435025808,0.9,0.0,0.9261505424008623
10,29.543365336843312,29.688798990211744,0.9,0.0,0.9272831733157834
11,31.740333303043062,31.907736636073494,0.9,0.0,0.9162983334847846
12,32.39141921256848,32.565333404694165,0.9,0.0,0.9130429039371576
13,31.282571754459635,31.44539747200423,0.9,0.0,0.9185871412277018
14,33.76742975570547,33.955104053262524,0.9,0.0,0.9061628512214726
15,33.27257300915866,33.45529873925025,0.9,0.0,0.9086371349542066
16,31.471724540700617,31.636441786107625,0.9,0.0,0.9176413772964969
17,29.7844538874516,29.932298426326117,0.9,0.0,0.9260777305627419
18,29.651541114532225,29.79805652567755,0.9,0.0,0.9267422944273388
19,29.878771170568672,30.02755888227436,0.9,0.0,0.9256061441471566
20,28.45840065488137,28.592984661430183,0.9,0.0,0.9327079967255931
21,29.109481358058005,29.250576171638585,0.9,0.0,0.92945259320971
22,28.417815036742752,28.55199318711018,0.9,0.0,0.9329109248162862
23,26.90883923544898,27.02792762780347,0.9,0.0,0.9404558038227551
24,25.796605652058236,25.904571708578818,0.9,0.0,0.9460169717397088
25,25.24482758540159,25.347275861255607,0.9,0.0,0.948775862072992
26,26.25213285558193,26.36465418413775,0.9,0.0,0.9437393357220903
27,26.50248182956452,26.617506647860164,0.9,0.0,0.9424875908521774
28,27.6441409927578,27.77058240268538,0.9,0.0,0.9367792950362109
29,27.56370482964091,27.689341877937316,0.9,0.0,0.9371814758517955
30,29.585677620688767,29.731534396895654,0.9,0.0,0.9270716118965561
31,29.553427613127194,29.698961889258467,0.9,0.0,0.9272328619343639
32,30.42362623378545,30.577862496123302,0.9,0.0,0.9228818688310727
33,31.06309929570501,31.223730288662058,0.9,0.0,0.9196845035214749
34,31.68034414590489,31.84714758736394,0.9,0.0,0.9165982792704755
35,33.59811311605568,33.78409424721624,0.9,0.0,0.9070094344197216
