timestamp,hour,ambient_temp,solar_irradiance,demand_kw,solar_generation_kw,battery_soc,battery_temp,battery_action,battery_power_kw,grid_import_kw,grid_export_kw,self_consumption_kw,electricity_price,cost_import_brl,revenue_export_brl,net_cost_brl
2024-01-15 00:00:00,0,23.659416088340283,0.0,149.65258874362928,0.0,0.32041689350764485,25.0,discharge,89.79155324617757,59.86103549745171,0,89.79155324617757,0.45,26.93746597385327,0.0,26.93746597385327
2024-01-15 01:00:00,1,25.59603910589018,0.0,152.36892252564084,0.0,0.13757418647687586,25.0,discharge,91.4213535153845,60.947569010256345,0,91.4213535153845,0.45,27.426406054615356,0.0,27.426406054615356
2024-01-15 02:00:00,2,26.3876819954601,0.0,146.70901066409772,0.0,0.13757418647687586,25.0,hold,0.0,146.70901066409772,0,0.0,0.45,66.01905479884398,0.0,66.01905479884398
2024-01-15 03:00:00,3,27.016290611366426,0.0,151.4929170189313,0.0,0.13757418647687586,25.0,hold,0.0,151.4929170189313,0,0.0,0.45,68.17181265851909,0.0,68.17181265851909
2024-01-15 04:00:00,4,25.578854566482352,0.0,152.51704940669825,0.0,0.13757418647687586,25.0,hold,0.0,152.51704940669825,0,0.0,0.45,68.63267223301422,0.0,68.63267223301422
2024-01-15 05:00:00,5,29.8328331672822,0.0,151.49606869899887,0.0,0.13757418647687586,25.0,hold,0.0,151.49606869899887,0,0.0,0.45,68.17323091454949,0.0,68.17323091454949
2024-01-15 06:00:00,6,29.210380331042177,0.0,147.9844151008643,0.0,0.13757418647687586,25.0,hold,0.0,147.9844151008643,0,0.0,0.45,66.59298679538894,0.0,66.59298679538894
2024-01-15 07:00:00,7,29.956011322320368,0.03585661319343806,535.8353033828637,5.974784311827086,0.13757418647687586,25.0,hold,0.0,529.8605190710366,0,5.974784311827086,0.45,238.43723358196647,0.0,238.43723358196647
2024-01-15 08:00:00,8,29.377492737288403,0.06050229516568872,550.7156380067569,10.105293294946668,0.13757418647687586,25.0,hold,0.0,540.6103447118102,0,10.105293294946668,0.45,243.27465512031458,0.0,243.27465512031458
2024-01-15 09:00:00,9,33.807085192549366,0.08333673299268458,513.9342987788383,13.66815608790437,0.13757418647687586,25.0,hold,0.0,500.2661426909339,0,13.66815608790437,0.45,225.11976421092027,0.0,225.11976421092027
2024-01-15 10:00:00,10,32.14244720664033,0.185173346327032,523.3949096710766,30.580107097447364,0.13757418647687586,25.0,hold,0.0,492.8148025736292,0,30.580107097447364,0.45,221.76666115813316,0.0,221.76666115813316
2024-01-15 11:00:00,11,33.65079212591259,0.23744721658289544,495.03264076115715,38.96923439124831,0.13757418647687586,25.0,hold,0.0,456.0634063699089,0,38.96923439124831,0.45,205.228532866459,0.0,205.228532866459
2024-01-15 12:00:00,12,33.2425604382198,0.2205908705378177,541.0656364884945,36.264049155310325,0.13757418647687586,25.0,hold,0.0,504.8015873331842,0,36.264049155310325,0.45,227.1607142999329,0.0,227.1607142999329
2024-01-15 13:00:00,13,34.415271114856054,0.16122043598002087,531.0616036742405,26.375278919078657,0.13757418647687586,25.0,hold,0.0,504.6863247551618,0,26.375278919078657,0.45,227.10884613982282,0.0,227.10884613982282
2024-01-15 14:00:00,14,32.42783743647555,0.13027330783028676,552.2986558647748,21.488461043193542,0.13757418647687586,25.0,hold,0.0,530.8101948215813,0,21.488461043193542,0.45,238.86458766971157,0.0,238.86458766971157
2024-01-15 15:00:00,15,31.484371030276698,0.12275709402090523,489.87833183219226,20.327424253477417,0.13757418647687586,25.0,hold,0.0,469.5509075787148,0,20.327424253477417,0.45,211.29790841042168,0.0,211.29790841042168
2024-01-15 16:00:00,16,31.06817919292576,0.1494879842903146,503.9672203944539,24.796115813766708,0.13757418647687586,25.0,hold,0.0,479.17110458068714,0,24.796115813766708,0.45,215.62699706130923,0.0,215.62699706130923
2024-01-15 17:00:00,17,29.834454192301944,0.0335273715092754,519.7281029148618,5.589434308186899,0.13757418647687586,25.0,hold,0.0,514.1386686066749,0,5.589434308186899,0.65,334.19013459433864,0.0,334.19013459433864
2024-01-15 18:00:00,18,28.791624571518092,0.0,542.9012599217695,0.0,0.13757418647687586,25.0,hold,0.0,542.9012599217695,0,0.0,0.85,461.466070933504,0.0,461.466070933504
2024-01-15 19:00:00,19,28.960645722736928,0.0,162.806340081563,0.0,0.13757418647687586,25.0,hold,0.0,162.806340081563,0,0.0,0.85,138.38538906932854,0.0,138.38538906932854
2024-01-15 20:00:00,20,28.560589642019906,0.0,148.65215986593554,0.0,0.13757418647687586,25.0,hold,0.0,148.65215986593554,0,0.0,0.85,126.3543358860452,0.0,126.3543358860452
2024-01-15 21:00:00,21,27.244015431217417,0.0,149.56934925355606,0.0,0.13757418647687586,25.0,hold,0.0,149.56934925355606,0,0.0,0.65,97.22007701481144,0.0,97.22007701481144
2024-01-15 22:00:00,22,26.079585047692404,0.0,148.5820025346589,0.0,0.13757418647687586,25.0,hold,0.0,148.5820025346589,0,0.0,0.45,66.8619011405965,0.0,66.8619011405965
2024-01-15 23:00:00,23,26.861548173721346,0.0,156.1857547095391,0.0,0.13757418647687586,25.0,hold,0.0,156.1857547095391,0,0.0,0.45,70.2835896192926,0.0,70.2835896192926
2024-01-16 00:00:00,24,24.638278261834284,0.0,161.25778767473227,0.0,0.13757418647687586,25.0,hold,0.0,161.25778767473227,0,0.0,0.45,72.56600445362952,0.0,72.56600445362952
2024-01-16 01:00:00,25,26.03593487499995,0.0,158.56179789742177,0.0,0.13757418647687586,25.0,hold,0.0,158.56179789742177,0,0.0,0.45,71.35280905383979,0.0,71.35280905383979
2024-01-16 02:00:00,26,25.98964481844394,0.0,151.3881732712926,0.0,0.13757418647687586,25.0,hold,0.0,151.3881732712926,0,0.0,0.45,68.12467797208167,0.0,68.12467797208167
