industrial_demand_kw,on_site_generation_kw,power_from_grid_kw,battery_soc,h2_storage_level,action_battery_kw,action_electrolyzer_kw,action_fuel_cell_kw,total_cost,grid_price,cost_score,resilience_score,sustainability_score,cumulative_cost
537.6386510711806,367.45103774033015,183.00264555290465,0.0,0.0,-37.57402300834656,46.98845148086548,80.0,15.591177331421223,339.3853050243951,-15.591177331421223,-400.0,13.669070741407003,15.591177331421223
520.9828614154643,385.275680014336,149.4929018145097,0.0,0.0,-39.18238282203674,50.54764151573181,80.0,12.752852122391738,339.3853050243951,-12.752852122391738,-400.0,14.790339895925793,28.34402945381296
541.5987816628381,380.36546173527023,174.00070798961144,0.0,0.0,-37.48588263988495,46.813756227493286,80.0,14.827157779188964,339.3853050243951,-14.827157779188964,-400.0,14.046023536739028,43.17118723300192
564.5594046235911,374.37296742355153,202.782306123487,0.0,0.0,-37.16481626033783,46.184852719306946,80.0,17.26831304893471,339.3853050243951,-17.26831304893471,-400.0,13.262482720420088,60.43950028193663
518.4676449874951,355.13227567862606,177.058407310363,0.0,0.0,-39.10015821456909,50.317806005477905,80.0,15.091370583047755,339.3853050243951,-15.091370583047755,-400.0,13.699303287756424,75.5308708649844
518.4680756335921,372.0433390517295,160.2074740537032,0.0,0.0,-39.17863965034485,50.53670406341553,80.0,13.661929299585186,339.3853050243951,-13.661929299585186,-400.0,14.35163924402,89.19280016456958
566.0331106097253,383.8873075403733,194.7417719660445,0.0,0.0,-37.16500699520111,46.185219287872314,80.0,16.586103764405262,339.3853050243951,-16.586103764405262,-400.0,13.564129035732684,105.77890392897484
544.7397817347334,374.99929068725567,182.40869102015057,0.0,0.0,-37.30090260505676,46.450066566467285,80.0,15.540048310106975,339.3853050243951,-15.540048310106975,-400.0,13.768015601616753,121.31895223908182
512.2950619045655,382.3741752788034,143.74899081832245,0.0,0.0,-39.233434200286865,50.70304870605469,80.0,12.265714294919137,339.3853050243951,-12.265714294919137,-400.0,14.927888387494752,133.58466653400097
538.8412107879113,389.35742332821496,162.45794620190748,0.0,0.0,-37.86473870277405,47.5719153881073,80.0,13.84883070005384,339.3853050243951,-13.84883070005384,-400.0,14.451657205612902,147.4334972340548
512.4539318725037,378.8446703485582,147.4354312748527,0.0,0.0,-39.23120200634003,50.695955753326416,80.0,12.578485552409319,339.3853050243951,-12.578485552409319,-400.0,14.785511312763743,160.01198278646413
512.3932854089908,380.8786414918927,145.3419060585859,0.0,0.0,-39.232462644577026,50.69996118545532,80.0,12.400863090837477,339.3853050243951,-12.400863090837477,-400.0,14.86665232889914,172.4128458773016
530.9563869348132,372.378936534554,171.84695855616866,0.0,0.0,-38.38573694229126,48.654863238334656,80.0,14.64693065255452,339.3853050243951,-14.64693065255452,-400.0,14.026724066143379,187.05977652985612
474.42334117422695,392.7868395548463,95.48085837299004,0.0,0.0,-39.2582893371582,50.76264142990112,80.0,8.17042184449512,339.3853050243951,-8.17042184449512,-400.0,46.558495565697704,195.23019837435123
479.3641776625549,389.32471982013885,103.87739192462067,0.0,0.0,-39.24521207809448,50.739091634750366,80.0,8.882804756280029,339.3853050243951,-8.882804756280029,-400.0,46.243379791895975,204.11300313063126
509.860528603461,389.8057158390536,133.8881497029186,0.0,0.0,-39.23941254615784,50.722235441207886,80.0,11.429084316211783,339.3853050243951,-11.429084316211783,-400.0,15.29068025354915,215.54208744684303
498.04255393903605,394.08295384155,117.79661572630073,0.0,0.0,-39.24356698989868,50.73572397232056,80.0,10.063795167922082,339.3853050243951,-10.063795167922082,-400.0,15.825272387860599,225.6058826147651
532.8524587839026,371.5358906049443,174.4345331511076,0.0,0.0,-38.12188506126404,48.099204897880554,80.0,14.865719134929899,339.3853050243951,-14.865719134929899,-400.0,13.94516941717332,240.471601749695
500.7916930339897,353.42375366737883,161.20238982825862,0.0,0.0,-39.240676164627075,50.726318359375,80.0,13.74660281293949,339.3853050243951,-13.74660281293949,-400.0,14.11460128366751,254.2182045626345
487.56419638445806,356.13726389013,145.26406028824704,0.0,0.0,-39.24369215965271,50.73613524436951,80.0,12.394307491471805,339.3853050243951,-12.394307491471805,-400.0,14.608835781260105,266.6125120541063
563.0542711547375,359.7163849583333,215.93342025011998,0.0,0.0,-37.16418743133545,46.18362486362457,80.0,18.384135094405547,339.3853050243951,-18.384135094405547,-400.0,12.777325504364276,284.99664714851184
518.6873796658915,349.39388581355985,182.97099769824007,0.0,0.0,-39.03658390045166,50.15084743499756,80.0,15.592804485338318,339.3853050243951,-15.592804485338318,-400.0,13.472233931684215,300.58945163385016
526.3808976287172,347.2203022327464,192.37922773640202,0.0,0.0,-38.29808831214905,48.468318581581116,80.0,16.38876388312125,339.3853050243951,-16.38876388312125,-400.0,13.19273947048353,316.97821551697143
487.2377715724991,354.1747186872392,146.90017580243523,0.0,0.0,-39.24369215965271,50.736117362976074,80.0,12.533125857797563,339.3853050243951,-12.533125857797563,-400.0,14.538064959298392,329.511341374769
510.3301802258249,339.6491726862684,184.47614819611448,0.0,0.0,-39.194098114967346,50.58218240737915,80.0,15.721099159598747,339.3853050243951,-15.721099159598747,5567.763924598694,13.310957722938161,345.23244053436775
527.519153178026,408.02140697706693,131.51350452029368,0.0,0.0,-34.0261310338974,44.057780504226685,80.0,11.218516503208432,339.3853050243951,-11.218516503208432,5361.045241355896,15.469444266391166,356.4509570375762
494.4184863688448,483.1059766829027,24.477806706507522,0.0,0.0,-37.44934797286987,48.27275574207306,80.0,2.142678458956887,339.3853050243951,-2.142678458956887,5497.973918914795,49.5423913143287,358.59363549653307
534.4643397687087,564.1981892620107,0.0,0.0,0.0,-37.3032420873642,46.24309539794922,80.0,0.06305876645174895,339.3853050243951,-0.06305876645174895,5492.129683494568,50.0,358.65669426298484
